repository,snapshot_commit,path,scope,format,size_bytes,git_blob_sha1,sha256,github_url,raw_url,provenance_and_license_note
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Pages/pgeRepairComponentSelection.resx,resource_descriptor,dotnet_resx,5817,29dcb1b3a353ba227f65e11fbe3d6f0766e84292,4363cd7d5b8671c72442ce1a1bfc10d64ebd24b2d718b54bd4fcd025e4967298,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeRepairComponentSelection.resx,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeRepairComponentSelection.resx,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Pages/pgeRules.resx,resource_descriptor,dotnet_resx,5817,29dcb1b3a353ba227f65e11fbe3d6f0766e84292,4363cd7d5b8671c72442ce1a1bfc10d64ebd24b2d718b54bd4fcd025e4967298,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeRules.resx,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeRules.resx,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Pages/pgeUninstallWelcome.resx,resource_descriptor,dotnet_resx,5817,29dcb1b3a353ba227f65e11fbe3d6f0766e84292,4363cd7d5b8671c72442ce1a1bfc10d64ebd24b2d718b54bd4fcd025e4967298,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeUninstallWelcome.resx,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeUninstallWelcome.resx,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Pages/pgeWelcome.resx,resource_descriptor,dotnet_resx,5817,5ea0895e324fa7a86681adc56938bad2f2367ba0,7263987e93baf4088e047f82d73a78d628e18bed376a1dad0797a8b87d64b068,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeWelcome.resx,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Pages/pgeWelcome.resx,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Properties/Resources.resx,resource_descriptor,dotnet_resx,7190,cf702d8d12881fdf77b6fed9bbf47d5d51970431,34f86e6b53146e34db38c23849cb730282b8ebbb25927d65d03cfeb3d9584092,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Properties/Resources.resx,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Properties/Resources.resx,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Resources/exclamation.png,direct_visual,raster_png,1724,e4d6b12954f9d18af6f839da974ab25c59f8396c,730205c3acbcbe3fa1f4fdc4ba14e3f67caaa38544c1c2e50433d59680003fe0,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/exclamation.png,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/exclamation.png,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Resources/pmuadbanner.png,direct_visual,raster_png,75804,3d4c77abb2cca680414f16632791708e300ffd32,9d017bc4e5e5de84aff755778020dc716ea13352bee60529e51795eb3e9e29e9,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/pmuadbanner.png,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/pmuadbanner.png,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/Installer,e25e2256d572a04dea2abc47bece7d9097f61ea5,Installer/Resources/PMUInstaller.ico,direct_visual,icon,98854,c6dda908f01f3f0aa84fa3c7b41400a5ac8f7186,248bc7b2fea2820351a603578c99026ab723193591529731235aa6d00b9be232,https://github.com/PMUniverse/Installer/blob/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/PMUInstaller.ico,https://raw.githubusercontent.com/PMUniverse/Installer/e25e2256d572a04dea2abc47bece7d9097f61ea5/Installer/Resources/PMUInstaller.ico,Installer resource. The repository is GPL-3.0; no individual artwork provenance or separate asset license was found in the audited tree.
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,Client/Exceptions/ErrorBox.resx,resource_descriptor,dotnet_resx,5695,19dc0dd8b3964e653690c64d095c5d28283828b7,f601cd30780a3718d8ce6966c3857d6b2ffaf47c1034bf4c0b6795c674296cb4,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Exceptions/ErrorBox.resx,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Exceptions/ErrorBox.resx,PMU repository file; inspect before redistributing.
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,Client/pmuicon.ico,direct_visual,icon,9662,004a0e1db9d38fb1e5fa87c7e54e06a3c9575744,89a77922895b0024395505fb22b90de770667104b01d4c8f65f889c69e99b203,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/pmuicon.ico,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/pmuicon.ico,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,Client/Properties/Resources.resx,resource_descriptor,dotnet_resx,6076,3cfcb529e1701df365c128facae723e5e035ee7d,fa2270b49154b77ae4990b2f131e18b7c8e33b8f5b1798ebb316cff1aadcc8dd,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Properties/Resources.resx,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Properties/Resources.resx,PMU repository file; inspect before redistributing.
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,Client/Resources/pmuicon.ico,direct_visual,icon,9662,004a0e1db9d38fb1e5fa87c7e54e06a3c9575744,89a77922895b0024395505fb22b90de770667104b01d4c8f65f889c69e99b203,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Resources/pmuicon.ico,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Resources/pmuicon.ico,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,Client/Windows/Editors/ScriptEditor/frmScriptEditor.resx,resource_descriptor,dotnet_resx,6093,21d7eb3bc93ba5c49122fab5a30dc06d178446b8,3f35e25e21745d990ea56f87ba7ae3876fd941f3c16bd552a40c46a070c0ea55,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Windows/Editors/ScriptEditor/frmScriptEditor.resx,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/Client/Windows/Editors/ScriptEditor/frmScriptEditor.resx,PMU repository file; inspect before redistributing.
