slot,pokemon,fr,portraits_present_of_16,missing_portraits,xml_actions,missing_dungeon,missing_project_full,missing_reverse_candidates
0282,Gardevoir,Gardevoir,16,,14,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
0083,Farfetch’d,Canarticho,16,,13,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,
0674,Pancham,Pandespiègle,16,,13,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,
0371,Bagon,Draby,16,,36,,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
0285,Shroomish,Balignon,16,,14,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,
0440,Happiny,Ptiravi,16,,37,,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
0417,Pachirisu,Pachirisu,16,,35,,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
0461,Weavile,Dimoret,16,,13,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
0186,Politoed,Tarpaud,4,Happy;Pain;Angry;Worried;Sad;Crying;Teary-Eyed;Determined;Joyous;Dizzy;Sigh;Stunned,13,,EventSleep;Wake;Eat;Tumble;Pose;Pull;Pain;Float;DeepBreath;Nod;Sit;LookUp;Sink;Trip;Laying;LeapForth;Head;Cringe;LostBalance;TumbleBack;HitGround;Faint,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^
